	stimOnsetSec	stimDurSec	ImageID	tNumXcond	Condition	CorrectSource	Stim_RT
190	False	False					
191	False	False					
192	False	False					
193	False	False					
194	False	False					
195	False	False					
196	False	False					
197	False	False					
198	False	False					
199	False	False					
200	False	False					
201	False	False					
202	False	False					
203	False	False					
204	False	False					
205	False	False					
206	False	False					
207	False	False					
208	False	False					
209	False	False					
210	False	False					
211	False	False					
212	False	False					
213	False	False					
214	False	False					
215	False	False					
216	False	False					
217	False	False					
218	False	False					
219	False	False					
220	False	False					
221	False	False					
222	False	False					
223	False	False					
224	False	False					
225	False	False					
226	False	False					
227	False	False					
228	False	False					
229	False	False					
230	False	False					
231	False	False					
232	False	False					
233	False	False					
